	Ballot	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68							
	Should WMT become a conference?	n	n	n	n	n	n	n	n	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	m	y	y	y	y	y	y	y	y	m	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y	y							
01	Conference on Machine Translation (CMT)	2	1	99	99	1	1	99	99	99	5	1	99	3	1	1	1	6	99	1	99	2	7	99	99	1	1	99	99	99	99	1	1	2	6	99	3	2	1	1	1	2	99	3	3	99	99	99	99	99	3	3	99	99	2	99	2	99	99	99	1	2	5	3	1	99	1	7	1						0	#DIV/0!
02	Conference on Machine Translation (WMT)	1	99	1	99	2	99	99	99	3	3	99	3	99	3	99	99	4	99	99	2	3	1	2	99	99	1	2	99	99	99	2	99	3	1	99	2	99	99	99	2	3	2	1	2	3	99	99	99	1	99	5	99	99	99	99	99	1	99	99	99	99	6	1	1	1	99	1	99							
03	Conference on Statistical Machine Translation (CMT)	99	4	5	99	99	99	3	99	6	6	99	99	99	99	99	99	5	99	99	99	2	6	99	99	99	99	99	99	3	99	99	99	99	6	99	3	99	99	99	99	7	99	7	99	99	99	99	99	99	99	2	99	99	99	99	99	99	99	99	2	1	10	4	1	99	99	7	99						0	#DIV/0!
04	Conference on Statistical Machine Translation (CSMT)	99	99	99	1	99	99	4	99	99	9	99	99	99	99	99	99	99	99	99	99	99	5	99	99	99	99	99	99	99	99	99	99	99	6	2	3	99	99	99	99	10	99	8	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	3	99	11	9	1	99	99	6	99							
05	Conference on Statistical Machine Translation (SMT)	99	99	99	3	99	2	99	99	4	10	99	99	2	99	99	99	99	99	99	99	99	4	99	99	99	99	99	99	1	99	99	99	99	6	1	3	99	99	99	99	11	99	10	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	4	99	12	11	1	5	99	5	99							
06	Conference on Statistical Machine Translation (CoSMaT)	99	99	3	99	99	99	99	99	99	11	99	99	99	99	99	99	99	99	99	99	99	8	99	99	99	99	99	99	99	99	99	99	4	3	99	3	99	99	99	99	8	99	9	99	99	99	99	99	99	99	99	99	99	99	99	99	99	4	3	5	99	1	7	1	99	99	99	99							
07	Conference on Statistical Machine Translation (WMT)	99	99	99	99	99	99	99	99	2	2	99	4	99	99	99	99	3	99	99	99	3	2	99	99	99	99	99	99	2	99	99	99	99	1	3	2	99	99	99	99	9	99	6	4	99	99	99	99	99	99	4	99	99	99	99	99	99	99	99	99	99	4	2	1	2	99	4	99							
08	Conference on Empirical Methods in Machine Translation (EMMT)	99	3	4	2	99	3	99	99	99	7	99	99	5	2	2	2	7	99	99	4	1	9	99	99	99	99	99	99	99	99	99	2	99	2	99	3	1	99	99	99	4	3	2	99	99	99	99	1	99	99	1	2	2	1	1	99	3	2	99	99	99	7	5	99	99	99	9	99						0	#DIV/0!
09	Conference on Data-Driven Machine Translation (DDMT)	99	99	2	99	99	99	99	99	99	8	99	99	6	99	99	99	99	99	99	5	99	11	99	99	99	99	99	99	99	99	99	99	99	3	99	3	99	99	99	99	6	99	5	99	99	99	99	2	99	99	99	99	3	99	99	99	99	99	99	99	99	3	10	99	99	99	10	99						0	#DIV/0!
10	WMT Conference on Machine Translation (WMT)	3	99	99	99	3	99	1	99	1	1	99	1	4	99	3	3	1	99	99	3	3	3	1	1	99	99	1	99	99	99	99	99	1	1	99	1	99	99	99	99	1	1	11	1	1	99	1	99	1	1	99	99	99	99	99	2	2	3	2	99	99	8	6	99	4	99	2	1						0	#DIV/0!
11	World Conference on Machine Translation (WMT)	99	2	99	99	99	99	2	99	5	4	99	2	1	99	99	99	2	1	99	1	3	10	99	99	1	99	99	1	99	1	99	99	99	1	99	1	99	99	99	99	5	99	4	99	2	1	99	3	99	2	99	1	1	99	99	3	99	1	1	6	99	5	8	99	3	99	4	99						0	#DIV/0!
12	International Conference in Machine Translation (ICMT) write-in	99	99	99	99	99	99	99	99	99	99	2	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99						0	#DIV/0!
13	Machine Translation Conference (MTC) write-in	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	3	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	1	99	99	99	99						0	#DIV/0!
