Index	Proposed name for WMT as a conference	Proposed acronym for WMT as a conference	Write-in option?
01	Conference on Machine Translation	CMT	no
02	Conference on Machine Translation	WMT	no
03	Conference on Statistical Machine Translation	CMT	no
04	Conference on Statistical Machine Translation	CSMT	no
05	Conference on Statistical Machine Translation	SMT	no
06	Conference on Statistical Machine Translation	CoSMaT	no
07	Conference on Statistical Machine Translation	WMT	no
08	Conference on Empirical Methods in Machine Translation	EMMT	no
09	Conference on Data-Driven Machine Translation	DDMT	no
10	WMT Conference on Machine Translation	WMT	no
11	World Conference on Machine Translation	WMT	no
12	International Conference in Machine Translation	ICMT	yes
13	Machine Translation Conference	MTC	yes
