		A	B	C	D	E	F	G	H	I	J	K	L	M	N	O	P	Q
Ballot	Should WMT become a conference?	Conference on Machine Translation (CMT)	Conference on Machine Translation (WMT)	Conference on Statistical Machine Translation (CMT)	Conference on Statistical Machine Translation (CSMT)	Conference on Statistical Machine Translation (SMT)	Conference on Statistical Machine Translation (CoSMaT)	Conference on Statistical Machine Translation (WMT)	Conference on Empirical Methods in Machine Translation (EMMT)	Conference on Data-Driven Machine Translation (DDMT)	WMT Conference on Machine Translation (WMT)	World Conference on Machine Translation (WMT)	International Conference in Machine Translation (ICMT) write-in	Machine Translation Conference (MTC) write-in				
1	n	2	1	99	99	99	99	99	99	99	3	99	99	99	99	99	99	99
2	n	1	99	4	99	99	99	99	3	99	99	2	99	99	99	99	99	99
3	n	99	1	5	99	99	3	99	4	2	99	99	99	99	99	99	99	99
4	n	99	99	99	1	3	99	99	2	99	99	99	99	99	99	99	99	99
5	n	1	2	99	99	99	99	99	99	99	3	99	99	99	99	99	99	99
6	n	1	99	99	99	2	99	99	3	99	99	99	99	99	99	99	99	99
7	n	99	99	3	4	99	99	99	99	99	1	2	99	99	99	99	99	99
8	n	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
9	y	99	3	6	99	4	99	2	99	99	1	5	99	99	99	99	99	99
10	y	5	3	6	9	10	11	2	7	8	1	4	99	99	99	99	99	99
11	y	1	99	99	99	99	99	99	99	99	99	99	2	99	99	99	99	99
12	y	99	3	99	99	99	99	4	99	99	1	2	99	99	99	99	99	99
13	y	3	99	99	99	2	99	99	5	6	4	1	99	99	99	99	99	99
14	y	1	3	99	99	99	99	99	2	99	99	99	99	99	99	99	99	99
15	y	1	99	99	99	99	99	99	2	99	3	99	99	99	99	99	99	99
16	y	1	99	99	99	99	99	99	2	99	3	99	99	99	99	99	99	99
17	y	6	4	5	99	99	99	3	7	99	1	2	99	99	99	99	99	99
18	y	99	99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99
19	y	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
20	y	99	2	99	99	99	99	99	4	5	3	1	99	99	99	99	99	99
21	y	2	3	2	99	99	99	3	1	99	3	3	99	99	99	99	99	99
22	y	7	1	6	5	4	8	2	9	11	3	10	99	99	99	99	99	99
23	y	99	2	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99
24	y	99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99
25	y	1	99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99
26	m	1	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
27	y	99	2	99	99	99	99	99	99	99	1	99	99	99	99	99	99	99
28	y	99	99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99
29	y	99	99	3	99	1	99	2	99	99	99	99	99	99	99	99	99	99
30	y	99	99	99	99	99	99	99	99	99	99	1	99	99	99	99	99	99
31	y	1	2	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
32	y	1	99	99	99	99	99	99	2	99	99	99	99	99	99	99	99	99
33	y	2	3	99	99	99	4	99	99	99	1	99	99	99	99	99	99	99
34	y	6	1	6	6	6	3	1	2	3	1	1	99	99	99	99	99	99
35	m	99	99	99	2	1	99	3	99	99	99	99	99	99	99	99	99	99
36	y	3	2	3	3	3	3	2	3	3	1	1	99	99	99	99	99	99
37	y	2	99	99	99	99	99	99	1	99	99	99	99	99	99	99	99	99
38	y	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
39	y	1	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99	99
40	y	1	2	99	99	99	99	99	99	99	99	99	99	3	99	99	99	99
41	y	2	3	7	10	11	8	9	4	6	1	5	99	99	99	99	99	99
42	y	99	2	99	99	99	99	99	3	99	1	99	99	99	99	99	99	99
43	y	3	1	7	8	10	9	6	2	5	11	4	99	99	99	99	99	99
